,households,name,latitude,longitude,geometry,GEOID
471570217453,579,FL - Home Improvement,35.023663,-89.8222097,POINT (-89.8222097 35.023663),4715792438
471570217461,648,FL - Home Improvement,35.0313054,-89.8355565,POINT (-89.8355565 35.0313054),4715792438
471570217462,328,EE - American Dreamers,35.0413147,-89.8424075,POINT (-89.84240749999999 35.0413147),4715792438
471570217463,835,MS - Metro Fusion,35.042158,-89.8350442,POINT (-89.8350442 35.042158),4715792438
471570217471,825,EE - American Dreamers,35.027549,-89.8440374,POINT (-89.8440374 35.027549),4715792438
471570217472,454,EE - American Dreamers,35.0240131,-89.8355304,POINT (-89.8355304 35.0240131),4715792438
471570217511,1595,EE - Up and Coming Families,35.0119137,-89.8094436,POINT (-89.80944359999999 35.0119137),4715792438
471570217512,962,FL - Soccer Moms,35.0158873,-89.8219371,POINT (-89.8219371 35.0158873),4715792438
471570217521,1825,EE - Up and Coming Families,35.0002256,-89.8130789,POINT (-89.81307889999999 35.0002256),4715792438
471570217531,495,FL - Home Improvement,35.0004271,-89.8347843,POINT (-89.8347843 35.0004271),4715792438
471570217532,653,FL - Home Improvement,34.999854,-89.8435454,POINT (-89.8435454 34.999854),4715792438
471570217541,882,EE - American Dreamers,35.0130821,-89.8442172,POINT (-89.8442172 35.0130821),4715792438
471570217542,719,EE - American Dreamers,35.0130814,-89.835426,POINT (-89.835426 35.0130814),4715792438
471570219001,392,HT - Modest Income Homes,35.0243054,-89.9457706,POINT (-89.9457706 35.0243054),4715792248
471570219002,423,HT - Family Foundations,35.0067704,-89.9452825,POINT (-89.9452825 35.0067704),4715792248
471570219003,322,HT - Family Foundations,35.0175494,-89.9516322,POINT (-89.95163220000001 35.0175494),4715792248
471570219004,603,HT - Family Foundations,35.0080217,-89.9723395,POINT (-89.9723395 35.0080217),4715792248
471570220221,229,MS - City Commons,35.0574203,-90.0036316,POINT (-90.00363160000001 35.0574203),4715792058
471570220222,174,MS - City Commons,35.0511083,-90.0093356,POINT (-90.0093356 35.0511083),4715792058
471570220223,129,MS - City Commons,35.0506254,-90.0054241,POINT (-90.0054241 35.0506254),4715792058
471570220224,149,HT - Modest Income Homes,35.0453332,-90.002956,POINT (-90.002956 35.0453332),4715792058
471570220225,441,HT - Family Foundations,35.0444768,-89.9951998,POINT (-89.99519979999999 35.0444768),4715792058
471570220231,485,HT - Family Foundations,35.0508475,-90.0169927,POINT (-90.0169927 35.0508475),4715792058
